City,Time,Temperature,Condition
2024-03-14 18:00:00, 12.5, overcast clouds
2024-03-09 21:00:00, 7.55, light rain
2024-03-10 00:00:00, 6.11, overcast clouds
2024-03-10 03:00:00, 4.46, overcast clouds
2024-03-10 06:00:00, 3.72, overcast clouds
2024-03-10 09:00:00, 2.58, overcast clouds
2024-03-10 12:00:00, -0.23, overcast clouds
2024-03-10 15:00:00, -0.69, overcast clouds
2024-03-10 18:00:00, 0.39, overcast clouds
2024-03-10 21:00:00, 0.88, overcast clouds
2024-03-11 00:00:00, 0.05, overcast clouds
2024-03-11 03:00:00, 0.42, overcast clouds
2024-03-11 06:00:00, -0.17, overcast clouds
2024-03-11 09:00:00, -0.72, scattered clouds
2024-03-11 12:00:00, -0.74, scattered clouds
2024-03-11 15:00:00, 1.99, clear sky
2024-03-11 18:00:00, 5.13, scattered clouds
2024-03-11 21:00:00, 5.7, overcast clouds
2024-03-12 00:00:00, 3.87, broken clouds
2024-03-12 03:00:00, 2.48, clear sky
2024-03-12 06:00:00, 2.24, clear sky
2024-03-12 09:00:00, 2.19, few clouds
2024-03-12 12:00:00, 2.14, broken clouds
2024-03-12 15:00:00, 5.44, broken clouds
2024-03-12 18:00:00, 8.48, broken clouds
2024-03-12 21:00:00, 9.74, broken clouds
2024-03-13 00:00:00, 6.5, broken clouds
2024-03-13 03:00:00, 5.46, overcast clouds
2024-03-13 06:00:00, 5.06, overcast clouds
2024-03-13 09:00:00, 5.12, overcast clouds
2024-03-13 12:00:00, 5.3, broken clouds
2024-03-13 15:00:00, 9.72, few clouds
2024-03-13 18:00:00, 11.95, light rain
2024-03-13 21:00:00, 13.18, light rain
2024-03-14 00:00:00, 11.31, overcast clouds
2024-03-14 03:00:00, 10.4, light rain
2024-03-14 06:00:00, 9.24, light rain
2024-03-14 09:00:00, 8.22, light rain
2024-03-14 12:00:00, 7.55, overcast clouds
2024-03-14 15:00:00, 7.66, overcast clouds
2024-03-14 18:00:00, 8.69, overcast clouds
2024-03-09 21:00:00, 7.55, light rain
2024-03-10 00:00:00, 6.11, overcast clouds
2024-03-10 03:00:00, 4.46, overcast clouds
2024-03-10 06:00:00, 3.72, overcast clouds
2024-03-10 09:00:00, 2.58, overcast clouds
2024-03-10 12:00:00, -0.23, overcast clouds
2024-03-10 15:00:00, -0.69, overcast clouds
2024-03-10 18:00:00, 0.39, overcast clouds
2024-03-10 21:00:00, 0.88, overcast clouds
2024-03-11 00:00:00, 0.05, overcast clouds
2024-03-11 03:00:00, 0.42, overcast clouds
2024-03-11 06:00:00, -0.17, overcast clouds
2024-03-11 09:00:00, -0.72, scattered clouds
2024-03-11 12:00:00, -0.74, scattered clouds
2024-03-11 15:00:00, 1.99, clear sky
2024-03-11 18:00:00, 5.13, scattered clouds
2024-03-11 21:00:00, 5.7, overcast clouds
2024-03-12 00:00:00, 3.87, broken clouds
2024-03-12 03:00:00, 2.48, clear sky
2024-03-12 06:00:00, 2.24, clear sky
2024-03-12 09:00:00, 2.19, few clouds
2024-03-12 12:00:00, 2.14, broken clouds
2024-03-12 15:00:00, 5.44, broken clouds
2024-03-12 18:00:00, 8.48, broken clouds
2024-03-12 21:00:00, 9.74, broken clouds
2024-03-13 00:00:00, 6.5, broken clouds
2024-03-13 03:00:00, 5.46, overcast clouds
2024-03-13 06:00:00, 5.06, overcast clouds
2024-03-13 09:00:00, 5.12, overcast clouds
2024-03-13 12:00:00, 5.3, broken clouds
2024-03-13 15:00:00, 9.72, few clouds
2024-03-13 18:00:00, 11.95, light rain
2024-03-13 21:00:00, 13.18, light rain
2024-03-14 00:00:00, 11.31, overcast clouds
2024-03-14 03:00:00, 10.4, light rain
2024-03-14 06:00:00, 9.24, light rain
2024-03-14 09:00:00, 8.22, light rain
2024-03-14 12:00:00, 7.55, overcast clouds
2024-03-14 15:00:00, 7.66, overcast clouds
2024-03-14 18:00:00, 8.69, overcast clouds
